Event,Date,Name,Whatsapp Number,Score
Doha Expo,2025-11-22T08:15:00.000Z,Mohammed Ali,971501234567,892
Doha Expo,2025-11-22T08:30:00.000Z,Sarah Ahmed,971502345678,745
Doha Expo,2025-11-22T09:00:00.000Z,Ahmed Hassan,971503456789,934
Doha Expo,2025-11-22T09:15:00.000Z,Fatima Khan,971504567890,678
Doha Expo,2025-11-22T09:45:00.000Z,Omar Ibrahim,971505678901,821
Doha Expo,2025-11-22T10:00:00.000Z,Layla Mansoor,971506789012,967
Doha Expo,2025-11-22T10:30:00.000Z,Khalid Rashid,971507890123,589
Doha Expo,2025-11-22T11:00:00.000Z,Aisha Abdullah,971508901234,712
Doha Expo,2025-11-22T11:30:00.000Z,Youssef Salem,971509012345,856
Doha Expo,2025-11-22T12:00:00.000Z,Mariam Hussain,971500123456,923
Doha Expo,2025-11-22T12:30:00.000Z,Rashid Al-Mansoori,971501987654,641
Doha Expo,2025-11-22T13:00:00.000Z,Noura Khalifa,971502876543,778
Doha Expo,2025-11-22T06:06:08.000Z,Abhay,971591197247,877
